fragment_smiles,occurences,example_ligands
C1OC2CC1C2,9602,20:02000:0:Z4923036669;20:02000:0:Z3540361219;20:02000:0:Z4887027372;
c1ncc2c(n1)OCC2,300,20:02000:0:Z3647727368;20:02000:1:Z3647738204;20:02000:1:Z3647645095;
c1ccc2occc2c1,7233,20:02000:0:Z3747785216;20:02000:0:Z1823914422;20:02000:0:Z4200542212;
C1CC2CNCC2O1,3488,20:02000:0:Z3831013991;20:02000:0:Z5060314477;20:02000:0:Z2278977824;
c1cnc2[nH]ccc2c1,2969,20:02000:0:Z4063467323;20:02000:0:Z2443095108;20:02000:1:Z1625391512;
C1CC2CNC(C1)C2,3030,20:02000:0:Z4063467323;20:02000:0:Z3314582095;20:02000:1:Z3510653104;
O=C1CNCCN1,10237,20:02000:0:Z1727306975;20:02000:0:Z2774413362;20:02000:0:Z3542112926;
OC1CCC1,28604,20:02000:0:Z1727306975;20:02000:0:Z1863840747;20:02000:0:Z2408035433;
Cc1cccc(F)c1,10006,20:02000:0:Z3292376345;20:02000:0:Z2996113503;20:02000:0:Z4076626701;
Cc1cnc(C)o1,1746,20:02000:0:Z2454588776;20:02000:1:Z2213453593;20:02000:1:Z2897978111;
CC1CNCC2(CCC2)O1,333,20:02000:0:Z2454588776;20:02000:2:Z4311607776;20:02000:2:Z4009834123;
O=C1NCCC12CCNCC2,212,20:02000:0:Z2792689402;20:02000:4:Z3516573708;20:02000:6:Z2830318998;
Fc1cnccn1,1012,20:02000:0:Z2792689402;20:02000:0:Z2698659728;20:02000:1:Z2699332275;
CC1CCCCN1,16213,20:02000:0:Z3045892355;20:02000:0:Z3520622218;20:02000:0:Z2476780611;
C1CNC2CCC2C1,1400,20:02000:0:Z3045892355;20:02000:0:Z3518293312;20:02000:2:Z4208502265;
CC12CCNCC1C2(F)F,364,20:02000:0:Z2228001233;20:02000:1:Z2228001900;20:02000:4:Z2199628273;
O=S1(=O)CCCC1,10678,20:02000:0:Z3391243578;20:02000:0:Z2947833606;20:02000:0:Z2291969823;
OC1CNCC1F,732,20:02000:0:Z3391243578;20:02000:0:Z3060865498;20:02000:1:Z3316968422;
C1CC2CC1CN2,7788,20:02000:0:Z2996113503;20:02000:0:Z776382302;20:02000:0:Z4090797750;
Clc1nccs1,4004,20:02000:0:Z4414510109;20:02000:0:Z2965576154;20:02000:0:Z4257434289;
FC1CCCCC1,9905,20:02000:0:Z3224529826;20:02000:0:Z2370171535;20:02000:0:Z4579455700;
CC1CCCN1C,3354,20:02000:0:Z4883425087;20:02000:0:Z4611329856;20:02000:0:Z2932195091;
Oc1ccccn1,4552,20:02000:0:Z2506157819;20:02000:0:Z4096743048;20:02000:0:Z2961367111;
Cc1cc(C)[nH]n1,12321,20:02000:0:Z2803502504;20:02000:0:Z1252468331;20:02000:0:Z4081768017;
C1OC2(CNC2)C2CC12,313,20:02000:0:Z2803502504;20:02000:6:Z2803499035;20:02000:7:Z2811820729;
Clc1cnn2cccnc12,206,20:02000:0:Z3631381293;20:02000:8:Z3629338595;20:02001:5:Z2282585136;
CC1CC(=O)NCCN1,501,20:02000:0:Z3007054481;20:02000:0:Z1378016235;20:02000:2:Z4041211942;
c1n[nH]c2c1CCCC2,4655,20:02000:0:Z3610976786;20:02000:0:Z4638979901;20:02000:0:Z4486748176;
c1cnc2c(c1)CCOC2,498,20:02000:0:Z5064187206;20:02000:0:Z3699756159;20:02000:0:Z3670338733;
C1CNCC2CCOC2C1,401,20:02000:0:Z4490267686;20:02000:1:Z4318945513;20:02000:1:Z3319852222;
Clc1cccnc1,20888,20:02000:0:Z1601469964;20:02000:0:Z3710062101;20:02000:0:Z1777782296;
Cn1cc(N)cn1,895,20:02000:0:Z3386098314;20:02000:0:Z4116286144;20:02000:1:Z3132468823;
CC1(C)CCCC1,4963,20:02000:0:Z3386098314;20:02000:0:Z2778958097;20:02000:0:Z2292918585;
C1CNCCOC1,13896,20:02000:0:Z4464683571;20:02000:0:Z2713989395;20:02000:0:Z3702426148;
C1CC2CCNC2C1,3750,20:02000:0:Z4464683571;20:02000:0:Z4996594816;20:02000:0:Z3141868875;
Cc1ccc(Cl)cc1,3626,20:02000:0:Z3198401894;20:02000:0:Z1506736237;20:02000:0:Z2283223608;
c1cnc2c(c1)CCC2,3520,20:02000:0:Z2296008036;20:02000:0:Z3619756535;20:02000:0:Z4191489781;
CC1(C)CCC(=O)N1,1067,20:02000:0:Z3952623457;20:02000:0:Z4113986591;20:02000:1:Z3794865105;
CC1(O)CCCCC1,1309,20:02000:0:Z1344528251;20:02000:1:Z2769921145;20:02000:1:Z2960722214;
